name,query,reason
Artera,"Artera, Los Angeles, CA",no_results
Cloudflare,"Cloudflare, Los Angeles, CA",no_results
Optimal (formerly Effective Spend),"Optimal (formerly Effective Spend), Los Angeles, CA",no_results
Doodle Labs,"Doodle Labs, Los Angeles, CA",no_results
Crunchyroll,"Crunchyroll, Los Angeles, CA",no_results
People Inc.,"People Inc., Los Angeles, CA",no_results
Centerfield,"Centerfield, Los Angeles, CA",no_results
ServiceNow,"ServiceNow, Los Angeles, CA",no_results
Magnite,"Magnite, Los Angeles, CA",no_results
Golden Hippo,"Golden Hippo, Los Angeles, CA",no_results
Celonis,"Celonis, Los Angeles, CA",no_results
Collectors,"Collectors, Los Angeles, CA",no_results
Octus,"Octus, Los Angeles, CA",no_results
Huntress,"Huntress, Los Angeles, CA",no_results
Whatnot,"Whatnot, Los Angeles, CA",no_results
Compa,"Compa, Los Angeles, CA",no_results
Parsec Automation,"Parsec Automation, Los Angeles, CA",no_results
HopSkipDrive,"HopSkipDrive, Los Angeles, CA",no_results
Instawork,"Instawork, Los Angeles, CA",no_results
2K,"2K, Los Angeles, CA",out_of_bbox
PwC,"PwC, Los Angeles, CA",no_results
Dropbox,"Dropbox, Los Angeles, CA",no_results
SharkNinja,"SharkNinja, Los Angeles, CA",no_results
FloQast,"FloQast, Los Angeles, CA",no_results
Red 6,"Red 6, Los Angeles, CA",out_of_bbox
"BAE Systems, Inc.","BAE Systems, Inc., Los Angeles, CA",no_results
Identity Digital,"Identity Digital, Los Angeles, CA",no_results
Citadel Securities,"Citadel Securities, Los Angeles, CA",no_results
"Munchkin, Inc.","Munchkin, Inc., Los Angeles, CA",no_results
BlackLine,"BlackLine, Los Angeles, CA",no_results
Crexi,"Crexi, Los Angeles, CA",no_results
Genius Sports,"Genius Sports, Los Angeles, CA",no_results
Smartly,"Smartly, Los Angeles, CA",no_results
Zeta Global,"Zeta Global, Los Angeles, CA",no_results
GrayMatter Robotics,"GrayMatter Robotics, Los Angeles, CA",no_results
System1,"System1, Los Angeles, CA",no_results
General Motors,"General Motors, Los Angeles, CA",out_of_bbox
SES Satellites,"SES Satellites, Los Angeles, CA",no_results
Metropolis Technologies,"Metropolis Technologies, Los Angeles, CA",no_results
Collectly,"Collectly, Los Angeles, CA",no_results
John Deere,"John Deere, Los Angeles, CA",no_results
True Anomaly,"True Anomaly, Los Angeles, CA",no_results
Luxury Presence,"Luxury Presence, Los Angeles, CA",no_results
Axle Health,"Axle Health, Los Angeles, CA",no_results
BuildOps,"BuildOps, Los Angeles, CA",no_results
swimply,"swimply, Los Angeles, CA",no_results
Babylist,"Babylist, Los Angeles, CA",no_results
COLORS Worldwide,"COLORS Worldwide, Los Angeles, CA",no_results
Moov Financial,"Moov Financial, Los Angeles, CA",no_results
AnySignal,"AnySignal, Los Angeles, CA",no_results
Anduril,"Anduril, Los Angeles, CA",no_results
CCC Intelligent Solutions,"CCC Intelligent Solutions, Los Angeles, CA",no_results
AST Defeasance,"AST Defeasance, Los Angeles, CA",no_results
Home Alliance,"Home Alliance, Los Angeles, CA",no_results
DISQO,"DISQO, Los Angeles, CA",no_results
Tubi,"Tubi, Los Angeles, CA",no_results
Next Health,"Next Health, Los Angeles, CA",no_results
Cox Enterprises,"Cox Enterprises, Los Angeles, CA",no_results
Nominal,"Nominal, Los Angeles, CA",no_results
MarketAxess,"MarketAxess, Los Angeles, CA",no_results
King's Hawaiian,"King's Hawaiian, Los Angeles, CA",no_results
USGBC California,"USGBC California, Los Angeles, CA",no_results
Jun Group,"Jun Group, Los Angeles, CA",no_results
California FAIR Plan Association,"California FAIR Plan Association, Los Angeles, CA",no_results
Tech Holding,"Tech Holding, Los Angeles, CA",no_results
Puffco,"Puffco, Los Angeles, CA",no_results
Galvanick,"Galvanick, Los Angeles, CA",no_results
GR0,"GR0, Los Angeles, CA",no_results
Wolf Games,"Wolf Games, Los Angeles, CA",no_results
Wellth,"Wellth, Los Angeles, CA",no_results
AltaMed Health Services,"AltaMed Health Services, Los Angeles, CA",no_results
Muvr,"Muvr, Los Angeles, CA",no_results
Wipfli,"Wipfli, Los Angeles, CA",no_results
Xano,"Xano, Los Angeles, CA",no_results
Atlas Technica,"Atlas Technica, Los Angeles, CA",no_results
Curri,"Curri, Los Angeles, CA",no_results
Million Dollar Baby Co.,"Million Dollar Baby Co., Los Angeles, CA",no_results
City Year,"City Year, Los Angeles, CA",no_results
PlayStation,"PlayStation, Los Angeles, CA",no_results
SimplePractice,"SimplePractice, Los Angeles, CA",no_results
Create Music Group,"Create Music Group, Los Angeles, CA",no_results
