name,address,city,state,website,careers_url,tags,lat,lng
Call The Ninja Computer Repair,879 West 190th Street,Los Angeles,CA,https://calltheninja.com/,,it,33.860114,-118.289230
Telenav,10549 Jefferson Boulevard Culver City 90232,Culver City,CA,,,company,34.007050,-118.393217
Connectionz Computer Repair,2379 Garfias Drive Pasadena 91104,Pasadena,CA,www.connectionzpcrepair.com,,it,34.171480,-118.101989
"Prolecto Resources, Inc.",269 South Beverly Drive Beverly Hills 90212,Beverly Hills,CA,https://www.prolecto.com/,https://www.prolecto.com/careers-with-prolecto-resources,it,34.062491,-118.399350
Glitterati Tours,8029 Norton Avenue West Hollywood CA 90046,West Hollywood,CA,https://glitteratitours.com/,,company,34.091989,-118.365504
Abacus Translation Services,401 North Garfield Avenue Alhambra CA 91801,Alhambra,CA,https://www.certifiedchinesetranslation.com/,https://www.certifiedchinesetranslation.com/Chinese-translation-jobs.html,company,34.099227,-118.129989
Bakers Man Productions,999 North Pacific Coast Highway El Segundo 90245,El Segundo,CA,http://www.bakersman.com,,company,33.930371,-118.396798
Motion Picture Association of America,15503 Ventura Boulevard Sherman Oaks 91403,Sherman Oaks,CA,https://www.mpaa.org/,,company,34.155286,-118.472477
macLifestyle,333 Washington Boulevard Marina Del Rey 90292,Marina Del Rey,CA,https://maclifestyle.com/,https://www.apple.com/stevejobs,it,33.980921,-118.463930
cmyk signs,4466 Worth Street Los Angeles CA 90063,Los Angeles,CA,http://cmyksigns.com/,,company,34.061292,-118.187753
Santa Monica Flyers,3165 Donald Douglas Loop North Santa Monica CA 90405,Santa Monica,CA,https://www.santamonicaflyers.com/,https://santamonicaflyers.com/careers-at-santa-monica-flyers/,company,34.016870,-118.447754
ICANN,,Los Angeles,CA,,,company,33.982918,-118.404821
Parkside Research,,Los Angeles,CA,,,company,33.982656,-118.405498
belkin,,Los Angeles,CA,,,company,33.982433,-118.406157
Square Enix,,Los Angeles,CA,,,company,33.930503,-118.396592
"Lotus Blooming Herbs, LLC",1132 1/2 N Gower St Los Angeles 90038,Los Angeles,CA,https://www.authenticshilajit.com/,,company,34.091688,-118.321976
Cushman & Wakefield,,Los Angeles,CA,,,company,33.807464,-118.145495
MarketShare,11150 Santa Monica Boulevard Los Angeles CA 90025,Los Angeles,CA,http://www.marketshare.com/,,company,34.046866,-118.445269
Old Firehouse Recording Studio,,Los Angeles,CA,http://www.firehouserecordingstudios.com/,,company,34.143773,-118.151232
"Supplyframe, Inc.",,Los Angeles,CA,https://supplyframe.com/,https://supplyframe.com/careers,it,34.143762,-118.151503
Xprize Foundation,,Los Angeles,CA,,,company,33.988444,-118.387612
Thomson Reuters,,Los Angeles,CA,,,company,33.988299,-118.387948
Mangan Inc.,3901 Via Oro Avenue Long Beach CA 90810,Long Beach,CA,https://www.manganinc.com/,https://manganinc.com/careers/,company,33.830384,-118.213230
Stress Level Zero,2458 Hunter Street,Los Angeles,CA,https://stresslevelzero.com/,https://store.steampowered.com/app/1592190/BONELAB/,company,34.027523,-118.227763
Corridor Digital,2458 Hunter Street,Los Angeles,CA,https://www.corridordigital.com/,,company,34.027523,-118.227664
$300 Data Recovery,11390 Ventura Boulevard Studio City CA 91604,Studio City,CA,https://www.300dollardatarecovery.com/,,company,34.139628,-118.378666
Twentieth Century Fox Film Corporation,2121 Avenue of the Stars Los Angeles CA 90067,Los Angeles,CA,https://www.foxmovies.com/,,company,34.055066,-118.413444
Arup,12777 West Jefferson Boulevard Los Angeles,Los Angeles,CA,,,company,33.978257,-118.418154
Toms Shoes,,Los Angeles,CA,,,company,33.982090,-118.416306
Edlio Inc.,12910 Culver Boulevard Los Angeles CA 90066,Los Angeles,CA,https://edlio.com/,https://recruiting.paylocity.com/recruiting/jobs/All/69f44fb2-1a57-4506-9b55-579f368d0272/Edlio-LLC,company,33.982157,-118.426821
The Graphic Element,321 12th Street Manhattan Beach CA 90266,Manhattan Beach,CA,https://www.thegraphicelement.com/,https://www.thegraphicelement.com/team/,company,33.886171,-118.409312
workspeed.com,,Los Angeles,CA,,,company,34.083501,-118.352719
Viking River Cruises,,Los Angeles,CA,,,company,34.173919,-118.596919
ChowNow,1,Los Angeles,CA,https://www.chownow.com/,,company,33.978385,-118.405940
Intuit,,Los Angeles,CA,,,it,34.173803,-118.593094
Medtronic,,Los Angeles,CA,,,company,34.174402,-118.593997
OpenX,,Los Angeles,CA,http://openx.com/locations/,,it,34.149418,-118.133064
Europa Ceramica USA,,Los Angeles,CA,http://www.asperix.com,,company,34.129971,-118.257608
California Metals,,Los Angeles,CA,,,company,33.948977,-118.178438
Advanced Builders & Contractors,19528 Ventura Blvd #120 Tarzana CA 91356,Tarzana,CA,https://www.abclosangeles.com/,,company,34.172310,-118.558851
LPI-LLC - Light Prescriptions Innovators,2400 Lincoln Avenue Altadena CA 91001,Altadena,CA,https://www.lpi-llc.com/,,company,34.186538,-118.159045
"LaV1, Inc.",6230 Wilshire Boulevard Los Angeles CA 90048,Los Angeles,CA,,,company,34.062857,-118.364658
Shred Nations,2201 N Lakewood Blvd Long Beach CA 90815,Long Beach,CA,https://www.shrednations.com/long-beach/,https://www.shrednations.com/about/team/,company,33.796235,-118.143050
Shred Nations,2309 Santa Monica Boulevard Santa Monica CA 90404,Santa Monica,CA,https://www.shrednations.com/santa-monica,https://www.shrednations.com/about/team/,company|Shred Nations,34.031028,-118.477436
UCLA Opus Project,10920 Wilshire Boulevard Los Angeles CA 90025,Los Angeles,CA,https://opus.ucla.edu/,,it,34.057982,-118.444619
Record Nations,6501 Sunset Blvd Los Angeles CA 90028,Los Angeles,CA,https://www.recordnations.com/featured/los-angeles/,https://www.recordnations.com/about/team/,company,34.098153,-118.331272
